zhi,补1,补2,补3,泄穴,本穴,原穴,小通经,大通经
子,中渚,液门,侠溪,阳辅,临泣,丘墟,天池|瞳子髎,瞳子髎|章门|期门|合谷|迎香|冲阳|大包|少府|大杼|至阴|俞府|天池
丑,侠溪,侠溪,曲泉,行间,大敦,太冲,瞳子髎|章门,章门|期门|合谷|迎香|冲阳|大包|少府|大杼|至阴|俞府|天池|瞳子髎
寅,曲泉,太冲,太渊,尺泽,经渠,太渊,章门|期门,期门|合谷|迎香|冲阳|大包|少府|大杼|至阴|俞府|天池|瞳子髎|章门
卯,太渊,太渊,曲池,二间,商阳,合谷,期门|合谷,合谷|迎香|冲阳|大包|少府|大杼|至阴|俞府|天池|瞳子髎|章门|期门
辰,曲池,阳溪,解溪,厉兑,足三里,冲阳,合谷|迎香,迎香|冲阳|大包|少府|大杼|至阴|俞府|天池|瞳子髎|章门|期门|合谷
巳,解溪,解溪,大都,商丘,太白,太白,迎香|冲阳,冲阳|大包|少府|大杼|至阴|俞府|天池|瞳子髎|章门|期门|合谷|迎香
午,大都,隐白,少冲,神门,少府,神门,冲阳|大包,大包|少府|大杼|至阴|俞府|天池|瞳子髎|章门|期门|合谷|迎香|冲阳
未,少冲,少冲,后溪,小海,阳谷,腕骨,大包|少府,少府|大杼|至阴|俞府|天池|瞳子髎|章门|期门|合谷|迎香|冲阳|大包
申,后溪,少泽,至阴,束谷,通谷,京骨,少府|大杼,大杼|至阴|俞府|天池|瞳子髎|章门|期门|合谷|迎香|冲阳|大包|少府
酉,至阴,至阴,复溜,涌泉,阴谷,太溪,大杼|至阴,至阴|俞府|天池|瞳子髎|章门|期门|合谷|迎香|冲阳|大包|少府|大杼
戌,复溜,涌泉,中冲,大陵,劳宫,大陵,至阴|俞府,俞府|天池|瞳子髎|章门|期门|合谷|迎香|冲阳|大包|少府|大杼|至阴
亥,中冲,中冲,中渚,天井,支沟,阳池,俞府|天池,天池|瞳子髎|章门|期门|合谷|迎香|冲阳|大包|少府|大杼|至阴|俞府
